Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402",235.920000,-78.720000,45.000000,top
"C2","0.1u","C_0402",238.770000,-78.300000,45.000000,top
"C3","0.1u","C_0402",243.160000,-82.830000,45.000000,top
"C4","0.1u","C_0402",238.030000,-90.760000,225.000000,top
"C5","10u","C_0402",232.156000,-81.534000,180.000000,top
"C6","0.1u","C_0402",232.283000,-87.122000,270.000000,top
"D1","D_Small_ALT","D_SOD-123F",56.506830,-81.344751,75.000000,top
"D2","D_Small_ALT","D_SOD-123F",74.794830,-86.424751,75.000000,top
"D3","D_Small_ALT","D_SOD-123F",94.098830,-88.456751,75.000000,top
"D4","D_Small_ALT","D_SOD-123F",113.148830,-90.234751,75.000000,top
"D5","D_Small_ALT","D_SOD-123F",131.690830,-95.314751,75.000000,top
"D6","D_Small_ALT","D_SOD-123F",149.470830,-101.918751,75.000000,top
"D7","D_Small_ALT","D_SOD-123F",166.488830,-107.760751,75.000000,top
"D8","D_Small_ALT","D_SOD-123F",189.738000,-108.712000,90.000000,top
"D9","D_Small_ALT","D_SOD-123F",208.788000,-108.712000,90.000000,top
"D10","D_Small_ALT","D_SOD-123F",227.838000,-108.712000,90.000000,top
"D11","D_Small_ALT","D_SOD-123F",246.888000,-108.712000,90.000000,top
"D12","D_Small_ALT","D_SOD-123F",270.141770,-101.826691,105.000000,top
"D13","D_Small_ALT","D_SOD-123F",288.175770,-95.222691,105.000000,top
"D14","D_Small_ALT","D_SOD-123F",306.590770,-90.396691,105.000000,top
"D15","D_Small_ALT","D_SOD-123F",325.767770,-88.364691,105.000000,top
"D16","D_Small_ALT","D_SOD-123F",344.944770,-86.332691,105.000000,top
"D17","D_Small_ALT","D_SOD-123F",363.359770,-81.506691,105.000000,top
"D18","D_Small_ALT","D_SOD-123F",380.250770,-76.299691,105.000000,top
"D19","D_Small_ALT","D_SOD-123F",55.257770,-86.006309,255.000000,top
"D20","D_Small_ALT","D_SOD-123F",73.545770,-91.086309,255.000000,top
"D21","D_Small_ALT","D_SOD-123F",92.849770,-93.118309,255.000000,top
"D22","D_Small_ALT","D_SOD-123F",111.899770,-94.896309,255.000000,top
"D23","D_Small_ALT","D_SOD-123F",130.441770,-99.976309,255.000000,top
"D24","D_Small_ALT","D_SOD-123F",148.221770,-106.580309,255.000000,top
"D25","D_Small_ALT","D_SOD-123F",165.239770,-112.422309,255.000000,top
"D26","D_Small_ALT","D_SOD-123F",189.738000,-113.538000,270.000000,top
"D27","D_Small_ALT","D_SOD-123F",208.788000,-113.538000,270.000000,top
"D28","D_Small_ALT","D_SOD-123F",227.838000,-113.538000,270.000000,top
"D29","D_Small_ALT","D_SOD-123F",246.888000,-113.538000,270.000000,top
"D30","D_Small_ALT","D_SOD-123F",271.390830,-106.488249,285.000000,top
"D31","D_Small_ALT","D_SOD-123F",289.424830,-99.884249,285.000000,top
"D32","D_Small_ALT","D_SOD-123F",307.839830,-95.058249,285.000000,top
"D33","D_Small_ALT","D_SOD-123F",327.016830,-93.026249,285.000000,top
"D34","D_Small_ALT","D_SOD-123F",346.193830,-90.994249,285.000000,top
"D35","D_Small_ALT","D_SOD-123F",364.608830,-86.168249,285.000000,top
