Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.1u,C_0402,238.77,-78.3,45.0,top
C3,0.1u,C_0402,243.16,-82.83,45.0,top
C4,0.1u,C_0402,238.03,-90.76,-135.0,top
C6,0.1u,C_0402,232.283,-87.122,-90.0,top
R3,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,231.14,-85.979,-90.0,top
R4,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,243.19,-86.4,135.0,top
C5,10u,C_0402,232.156,-81.534,180.0,top
Y1,16mhz,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering,227.838,-86.995,90.0,top
C1,1u,C_0402,235.92,-78.72,45.0,top
R1,22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,232.156,-80.264,180.0,top
R2,22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,232.156,-79.248,180.0,top
R5,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,214.94,-84.53,180.0,top
R6,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,204.95,-84.54,0.0,top
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,237.49,-84.582,225.0,top
J2,AVR-ISP-6,PinSocket_2x03_P2.54mm_Vertical,198.374,-83.312,180.0,top
D1,D_Small_ALT,D_SOD-123F,56.50683,-81.344751,75.0,top
D2,D_Small_ALT,D_SOD-123F,74.79483,-86.424751,75.0,top
D3,D_Small_ALT,D_SOD-123F,94.09883,-88.456751,75.0,top
D4,D_Small_ALT,D_SOD-123F,113.14883,-90.234751,75.0,top
D5,D_Small_ALT,D_SOD-123F,131.69083,-95.314751,75.0,top
D6,D_Small_ALT,D_SOD-123F,149.47083,-101.918751,75.0,top
D7,D_Small_ALT,D_SOD-123F,166.48883,-107.760751,75.0,top
D8,D_Small_ALT,D_SOD-123F,189.738,-108.712,90.0,top
D9,D_Small_ALT,D_SOD-123F,208.788,-108.712,90.0,top
D10,D_Small_ALT,D_SOD-123F,227.838,-108.712,90.0,top
D11,D_Small_ALT,D_SOD-123F,246.888,-108.712,90.0,top
D12,D_Small_ALT,D_SOD-123F,270.14177,-101.826691,105.0,top
D13,D_Small_ALT,D_SOD-123F,288.17577,-95.222691,105.0,top
D14,D_Small_ALT,D_SOD-123F,306.59077,-90.396691,105.0,top
D15,D_Small_ALT,D_SOD-123F,325.76777,-88.364691,105.0,top
D16,D_Small_ALT,D_SOD-123F,344.94477,-86.332691,105.0,top
D17,D_Small_ALT,D_SOD-123F,363.35977,-81.506691,105.0,top
D18,D_Small_ALT,D_SOD-123F,380.25077,-76.299691,105.0,top
D19,D_Small_ALT,D_SOD-123F,55.25777,-86.006309,-105.0,top
D20,D_Small_ALT,D_SOD-123F,73.54577,-91.086309,-105.0,top
D21,D_Small_ALT,D_SOD-123F,92.84977,-93.118309,-105.0,top
D22,D_Small_ALT,D_SOD-123F,111.89977,-94.896309,-105.0,top
D23,D_Small_ALT,D_SOD-123F,130.44177,-99.976309,-105.0,top
D24,D_Small_ALT,D_SOD-123F,148.22177,-106.580309,-105.0,top
D25,D_Small_ALT,D_SOD-123F,165.23977,-112.422309,-105.0,top
D26,D_Small_ALT,D_SOD-123F,189.738,-113.538,-90.0,top
D27,D_Small_ALT,D_SOD-123F,208.788,-113.538,-90.0,top
D28,D_Small_ALT,D_SOD-123F,227.838,-113.538,-90.0,top
D29,D_Small_ALT,D_SOD-123F,246.888,-113.538,-90.0,top
D30,D_Small_ALT,D_SOD-123F,271.39083,-106.488249,-75.0,top
D31,D_Small_ALT,D_SOD-123F,289.42483,-99.884249,-75.0,top
D32,D_Small_ALT,D_SOD-123F,307.83983,-95.058249,-75.0,top
D33,D_Small_ALT,D_SOD-123F,327.01683,-93.026249,-75.0,top
D34,D_Small_ALT,D_SOD-123F,346.19383,-90.994249,-75.0,top
D35,D_Small_ALT,D_SOD-123F,364.60883,-86.168249,-75.0,top
D36,D_Small_ALT,D_SOD-123F,381.49983,-80.961249,-75.0,top
D37,D_Small_ALT,D_SOD-123F,50.292,-104.394,-105.0,top
D38,D_Small_ALT,D_SOD-123F,68.725653,-109.302296,-105.0,top
D39,D_Small_ALT,D_SOD-123F,87.521653,-112.604296,-105.0,top
D40,D_Small_ALT,D_SOD-123F,107.079653,-112.858296,-105.0,top
D41,D_Small_ALT,D_SOD-123F,125.476,-117.856,-105.0,top
D42,D_Small_ALT,D_SOD-123F,143.256,-125.222,-105.0,top
D43,D_Small_ALT,D_SOD-123F,160.528,-130.81,-105.0,top
D44,D_Small_ALT,D_SOD-123F,189.738,-132.588,-90.0,top
D45,D_Small_ALT,D_SOD-123F,208.788,-132.588,-90.0,top
D46,D_Small_ALT,D_SOD-123F,227.838,-132.588,-90.0,top
D47,D_Small_ALT,D_SOD-123F,246.888,-132.588,-90.0,top
D48,D_Small_ALT,D_SOD-123F,276.352,-125.349,-75.0,top
D49,D_Small_ALT,D_SOD-123F,294.259,-118.11,-75.0,top
D50,D_Small_ALT,D_SOD-123F,312.674,-113.03,-75.0,top
D51,D_Small_ALT,D_SOD-123F,332.359,-112.649,-75.0,top
D52,D_Small_ALT,D_SOD-123F,351.155,-109.347,-75.0,top
D53,D_Small_ALT,D_SOD-123F,369.443,-104.267,-75.0,top
D54,D_Small_ALT,D_SOD-123F,386.588,-99.314,-75.0,top
D55,D_Small_ALT,D_SOD-123F,45.466,-122.682,-105.0,top
D56,D_Small_ALT,D_SOD-123F,63.754,-127.762,-105.0,top
D57,D_Small_ALT,D_SOD-123F,82.55,-131.064,-105.0,top
D58,D_Small_ALT,D_SOD-123F,102.108,-131.572,-105.0,top
D59,D_Small_ALT,D_SOD-123F,120.795653,-136.480296,-105.0,top
D60,D_Small_ALT,D_SOD-123F,138.575653,-143.592296,-105.0,top
D61,D_Small_ALT,D_SOD-123F,155.448,-149.098,-105.0,top
D62,D_Small_ALT,D_SOD-123F,189.738,-151.638,-90.0,top
D63,D_Small_ALT,D_SOD-123F,208.788,-151.638,-90.0,top
D64,D_Small_ALT,D_SOD-123F,227.838,-151.638,-90.0,top
D65,D_Small_ALT,D_SOD-123F,246.888,-151.638,-90.0,top
D66,D_Small_ALT,D_SOD-123F,281.305,-143.637,-75.0,top
D67,D_Small_ALT,D_SOD-123F,299.212,-136.525,-75.0,top
D68,D_Small_ALT,D_SOD-123F,317.627,-131.445,-75.0,top
D69,D_Small_ALT,D_SOD-123F,337.312,-131.191,-75.0,top
D70,D_Small_ALT,D_SOD-123F,356.108,-127.762,-75.0,top
D71,D_Small_ALT,D_SOD-123F,374.396,-122.809,-75.0,top
D72,D_Small_ALT,D_SOD-123F,391.541,-117.729,-75.0,top
D73,D_Small_ALT,D_SOD-123F,40.386,-140.97,-105.0,top
D74,D_Small_ALT,D_SOD-123F,58.674,-146.05,-105.0,top
D75,D_Small_ALT,D_SOD-123F,77.724,-149.606,-105.0,top
D76,D_Small_ALT,D_SOD-123F,97.282,-149.86,-105.0,top
D77,D_Small_ALT,D_SOD-123F,115.824,-154.94,-105.0,top
D78,D_Small_ALT,D_SOD-123F,133.604,-162.052,-105.0,top
D79,D_Small_ALT,D_SOD-123F,151.892,-162.306,-105.0,top
D80,D_Small_ALT,D_SOD-123F,189.738,-170.688,-90.0,top
D81,D_Small_ALT,D_SOD-123F,208.788,-170.688,-90.0,top
D82,D_Small_ALT,D_SOD-123F,227.838,-170.688,-90.0,top
D83,D_Small_ALT,D_SOD-123F,246.888,-170.688,-90.0,top
D84,D_Small_ALT,D_SOD-123F,268.224,-163.068,-75.0,top
D85,D_Small_ALT,D_SOD-123F,304.038,-154.94,-75.0,top
D86,D_Small_ALT,D_SOD-123F,322.58,-149.86,-75.0,top
D87,D_Small_ALT,D_SOD-123F,342.138,-149.606,-75.0,top
D88,D_Small_ALT,D_SOD-123F,360.934,-146.05,-75.0,top
D89,D_Small_ALT,D_SOD-123F,379.222,-141.224,-75.0,top
D90,D_Small_ALT,D_SOD-123F,396.367,-136.017,-75.0,top
F1,Polyfuse_Small,Fuse_0402_1005Metric,228.623,-80.772,180.0,top
U2,SRV05-4,SOT-23-6,218.44,-82.296,180.0,top
SW1,SW_Push,MX-Alps-Choc-1U-NoLED,49.16903,-71.493463,-15.0,top
SWRST1,SW_Push,SW_SPST_TL3342,190.246,-79.756,0.0,top
SW2,SW_Push,MX-Alps-Choc-1U-NoLED,67.327029,-77.849034,-15.0,top
SW3,SW_Push,MX-Alps-Choc-1U-NoLED,86.023553,-81.358292,-15.0,top
SW4,SW_Push,MX-Alps-Choc-1U-NoLED,105.734716,-81.627501,-15.0,top
